state_residence,district_residence,Date,new_case,negative_case,Failed_test,Total_test
TELANGANA,JAGITIAL,2021-03-22,0,1564,0,1564
TELANGANA,JAGITIAL,2021-03-23,0,1322,0,1322
TELANGANA,JAGITIAL,2021-03-24,0,1336,0,1336
TELANGANA,JAGITIAL,2021-03-25,0,1095,0,1095
TELANGANA,JANGOAN,2021-03-21,0,1235,0,1235
TELANGANA,JANGOAN,2021-03-22,0,751,0,751
TELANGANA,JANGOAN,2021-03-23,0,803,0,803
TELANGANA,JANGOAN,2021-03-24,0,754,0,754
TELANGANA,JANGOAN,2021-03-25,0,648,0,648
TELANGANA,JAYASHANKAR BHUPALAPALLY,2021-03-21,0,842,0,842
TELANGANA,JAYASHANKAR BHUPALAPALLY,2021-03-22,0,798,0,798
TELANGANA,JAYASHANKAR BHUPALAPALLY,2021-03-23,0,916,0,916
TELANGANA,JAYASHANKAR BHUPALAPALLY,2021-03-24,0,630,0,630
TELANGANA,JAYASHANKAR BHUPALAPALLY,2021-03-25,0,645,0,645
TELANGANA,JOGULAMBA GADWAL,2021-03-21,0,1874,0,1874
TELANGANA,JOGULAMBA GADWAL,2021-03-22,0,611,0,611
TELANGANA,JOGULAMBA GADWAL,2021-03-23,1,812,0,813
TELANGANA,JOGULAMBA GADWAL,2021-03-24,0,772,0,772
TELANGANA,JOGULAMBA GADWAL,2021-03-25,0,623,0,623
TELANGANA,KAMAREDDY,2021-03-21,0,1810,0,1810
TELANGANA,KAMAREDDY,2021-03-22,0,1575,0,1575
TELANGANA,KAMAREDDY,2021-03-23,1,1490,0,1491
TELANGANA,KAMAREDDY,2021-03-24,0,861,0,861
TELANGANA,KAMAREDDY,2021-03-25,0,1105,0,1105
TELANGANA,KARIMNAGAR,2021-03-21,0,3061,0,3061
TELANGANA,KARIMNAGAR,2021-03-22,0,1694,0,1694
TELANGANA,KARIMNAGAR,2021-03-23,0,2426,0,2426
TELANGANA,KARIMNAGAR,2021-03-24,2,1841,0,1843
TELANGANA,KARIMNAGAR,2021-03-25,0,1982,0,1982
TELANGANA,KHAMMAM,2021-03-21,13,2121,0,2134
TELANGANA,KHAMMAM,2021-03-22,4,1726,0,1730
TELANGANA,KHAMMAM,2021-03-23,0,1955,0,1955
TELANGANA,KHAMMAM,2021-03-24,4,925,0,929
TELANGANA,KHAMMAM,2021-03-25,1,1109,0,1110
TELANGANA,KUMURAM BHEEM ASIFABAD,2021-03-21,0,773,0,773
TELANGANA,KUMURAM BHEEM ASIFABAD,2021-03-22,0,435,0,435
TELANGANA,KUMURAM BHEEM ASIFABAD,2021-03-23,0,510,0,510
TELANGANA,KUMURAM BHEEM ASIFABAD,2021-03-24,0,497,0,497
TELANGANA,KUMURAM BHEEM ASIFABAD,2021-03-25,0,413,0,413
TELANGANA,MAHABUBABAD,2021-03-21,0,694,0,694
TELANGANA,MAHABUBABAD,2021-03-22,0,295,0,295
TELANGANA,MAHABUBABAD,2021-03-23,0,402,0,402
TELANGANA,MAHABUBABAD,2021-03-24,0,324,0,324
TELANGANA,MAHABUBABAD,2021-03-25,1,324,0,325
TELANGANA,MAHABUBNAGAR,2021-03-21,0,4595,0,4595
TELANGANA,MAHABUBNAGAR,2021-03-22,1,2078,0,2079
TELANGANA,MAHABUBNAGAR,2021-03-23,0,2607,0,2607
TELANGANA,MAHABUBNAGAR,2021-03-24,1,1698,0,1699
TELANGANA,MAHABUBNAGAR,2021-03-25,1,1715,0,1716
TELANGANA,MANCHERIAL,2021-03-21,0,1891,0,1891
TELANGANA,MANCHERIAL,2021-03-22,0,1247,0,1247
TELANGANA,MANCHERIAL,2021-03-23,0,1248,0,1248
TELANGANA,MANCHERIAL,2021-03-24,0,900,0,900
TELANGANA,MANCHERIAL,2021-03-25,0,712,0,712
TELANGANA,MEDAK,2021-03-21,2,872,0,874
TELANGANA,MEDAK,2021-03-22,3,978,1,982
TELANGANA,MEDAK,2021-03-23,1,849,0,850
TELANGANA,MEDAK,2021-03-24,1,273,0,274
TELANGANA,MEDAK,2021-03-25,1,370,0,371
TELANGANA,MEDCHAL MALKAJGIRI,2021-03-21,2,3922,0,3924
TELANGANA,MEDCHAL MALKAJGIRI,2021-03-22,1,2872,0,2873
TELANGANA,MEDCHAL MALKAJGIRI,2021-03-23,5,2857,1,2863
TELANGANA,MEDCHAL MALKAJGIRI,2021-03-24,0,3477,1,3478
TELANGANA,MEDCHAL MALKAJGIRI,2021-03-25,1,3153,0,3154
TELANGANA,MULUGU,2021-03-21,0,996,0,996
TELANGANA,MULUGU,2021-03-22,0,571,0,571
TELANGANA,MULUGU,2021-03-23,0,851,0,851
TELANGANA,MULUGU,2021-03-24,0,734,0,734
TELANGANA,MULUGU,2021-03-25,0,518,0,518
TELANGANA,NAGARKURNOOL,2021-03-21,0,3267,0,3267
